amfi_code,scheme_name,start_nav,mu_annual_pct,sigma_annual_pct,p5_5yr_nav,p25_5yr_nav,p50_5yr_nav,p75_5yr_nav,p95_5yr_nav,cagr_median_pct,simulations,projection_years
120504,ICICI Pru Bluechip Fund - Direct - Growth,54.62,7.2328,33.1981,16.1,34.54,57.18,96.43,194.07,0.919,1000,5
118633,Nippon India Large Cap Fund - Direct - Growth,102.1267,18.0356,14.9792,131.86,186.1,233.61,295.75,405.49,17.997,1000,5
119599,SBI Small Cap Fund - Direct Plan - Growth,105.4849,81.9907,166.1956,0.01,0.42,5.21,71.33,2365.72,-45.206,1000,5
118635,Nippon India ETF Nifty 50 BeES,326.7508,15.1319,12.9832,400.28,539.58,657.11,806.15,1059.77,14.997,1000,5
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,3295.2593,373.4468,772.3163,0.0,0.0,0.0,0.0,0.0,-100.0,1000,5
