scheme_code,scheme_tag,fund_house,scheme_name,scheme_category,latest_nav,latest_date,total_records,fetched_at
125497,HDFC_Top100_Direct,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity Scheme - Small Cap Fund,207.3912,06-07-2026,3115,2026-07-07T14:09:33.984102Z
119551,SBI_Bluechip,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,106.8431,06-07-2026,3260,2026-07-07T14:09:35.265233Z
120503,ICICI_Bluechip,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Equity Scheme - ELSS,110.2532,06-07-2026,3331,2026-07-07T14:09:36.524567Z
118632,Nippon_LargeCap,Nippon India Mutual Fund,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Large Cap Fund,102.1267,06-07-2026,3322,2026-07-07T14:09:37.786738Z
119092,Axis_Bluechip,HDFC Mutual Fund,HDFC Money Market Fund - Growth Option - Direct Plan,Debt Scheme - Money Market Fund,6231.476,06-07-2026,3589,2026-07-07T14:09:39.027649Z
120841,Kotak_Bluechip,quant Mutual Fund,quant Mid Cap Fund - Growth Option - Direct Plan,Equity Scheme - Mid Cap Fund,250.9377,06-07-2026,3325,2026-07-07T14:09:41.268439Z
